CaptureNumber,BIFLUXS,ARRIVAL_TIME_PACKET,PACKET_SIZE,ARRIVAL_TIME_MSG,SIZE_MESSAGE
c1,10.215.173.1-52.233.193.153,1633773564.915325,229,1635869894.775723,189
c1,52.233.193.153-10.215.173.1,0.10984516143798828,1260,0.00019502639770507812,1220
c1,10.215.173.1-52.233.193.153,0.051225900650024414,133,0.00014138221740722656,93
c1,52.233.193.153-10.215.173.1,0.0037031173706054688,266,0.0001919269561767578,226
c1,10.215.173.1-52.233.193.153,0.006979942321777344,1500,0.00033354759216308594,1460
c1,10.215.173.1-52.233.193.153,0.0006449222564697266,112,0.00013184547424316406,72
c1,52.233.193.153-10.215.173.1,0.06445503234863281,330,0.00015091896057128906,290
c1,10.215.173.1-52.233.193.153,0.011024951934814453,71,0.00012874603271484375,31
c1,10.215.173.1-13.83.65.43,0.027341127395629883,247,0.00012302398681640625,207
c1,10.215.173.1-52.97.186.114,0.03369903564453125,225,0.00012922286987304688,185
c1,52.97.186.114-10.215.173.1,0.07259798049926758,1500,0.00014519691467285156,1460
c1,52.97.186.114-10.215.173.1,0.001506805419921875,299,0.00013446807861328125,259
c1,10.215.173.1-52.97.186.114,0.009451150894165039,133,0.00012540817260742188,93
c1,52.97.186.114-10.215.173.1,0.002683877944946289,266,0.00011467933654785156,226
c1,52.97.186.114-10.215.173.1,0.0011081695556640625,120,0.00011467933654785156,80
c1,10.215.173.1-52.97.186.114,0.002022981643676758,93,0.00010514259338378906,53
c1,10.215.173.1-52.97.186.114,0.0006709098815917969,84,0.00010538101196289062,44
c1,10.215.173.1-52.97.186.114,0.00036907196044921875,82,0.00011682510375976562,42
c1,52.97.186.114-10.215.173.1,0.002872943878173828,78,0.00011372566223144531,38
c1,10.215.173.1-52.97.186.114,0.0013720989227294922,1098,0.00012421607971191406,1058
c1,10.215.173.1-52.97.186.114,0.0032439231872558594,78,0.0001068115234375,38
c1,52.97.186.114-10.215.173.1,0.1451709270477295,664,0.00012087821960449219,624
c1,13.83.65.43-10.215.173.1,0.12393712997436523,1416,0.0001289844512939453,1376
c1,10.215.173.1-13.83.65.43,0.006999969482421875,133,0.00011587142944335938,93
c1,13.83.65.43-10.215.173.1,0.0044629573822021484,266,0.00010991096496582031,226
c1,10.215.173.1-13.83.65.43,0.0009849071502685547,1500,0.0001323223114013672,1460
c1,10.215.173.1-13.83.65.43,0.0002620220184326172,1061,0.00012135505676269531,1021
c1,10.215.173.1-13.83.65.43,0.14360594749450684,557,0.03973102569580078,517
c1,10.215.173.1-13.83.65.43,0.03490304946899414,557,0.00021529197692871094,517
c1,13.83.65.43-10.215.173.1,0.024652957916259766,688,0.0001709461212158203,648
c1,13.83.65.43-10.215.173.1,0.3682870864868164,1416,0.00020551681518554688,1376
c1,10.215.173.1-52.232.209.85,0.004821062088012695,221,0.00015282630920410156,181
c1,13.83.65.43-10.215.173.1,0.0018918514251708984,1416,0.00016021728515625,1376
